,date,EUR 1 = GBP
1,2023-10-02,0.86628
2,2023-10-03,0.86775
3,2023-10-04,0.86588
4,2023-10-05,0.86605
5,2023-10-06,0.86510
8,2023-10-09,0.86520
9,2023-10-10,0.86390
10,2023-10-11,0.86265
11,2023-10-12,0.86260
12,2023-10-13,0.86415
15,2023-10-16,0.86545
16,2023-10-17,0.86820
17,2023-10-18,0.86610
18,2023-10-19,0.87098
19,2023-10-20,0.87213
22,2023-10-23,0.87153
23,2023-10-24,0.87025
24,2023-10-25,0.87240
25,2023-10-26,0.87170
26,2023-10-27,0.87023
29,2023-10-30,0.87345
30,2023-10-31,0.87366
31,2023-11-01,0.86945
32,2023-11-02,0.87305
33,2023-11-03,0.86983
36,2023-11-06,0.86640
37,2023-11-07,0.86855
38,2023-11-08,0.87015
39,2023-11-09,0.87205
40,2023-11-10,0.87435
43,2023-11-13,0.87155
44,2023-11-14,0.87230
45,2023-11-15,0.87188
46,2023-11-16,0.87520
47,2023-11-17,0.87395
50,2023-11-20,0.87630
51,2023-11-21,0.87326
52,2023-11-22,0.87030
53,2023-11-23,0.86940
54,2023-11-24,0.86818
57,2023-11-27,0.86671
58,2023-11-28,0.86820
59,2023-11-29,0.86525
60,2023-11-30,0.86368
61,2023-12-01,0.86045
64,2023-12-04,0.85790
65,2023-12-05,0.85723
66,2023-12-06,0.85610
67,2023-12-07,0.85750
68,2023-12-08,0.85690
71,2023-12-11,0.85580
72,2023-12-12,0.85928
73,2023-12-13,0.86120
74,2023-12-14,0.85955
75,2023-12-15,0.85833
78,2023-12-18,0.86263
79,2023-12-19,0.86095
80,2023-12-20,0.86555
81,2023-12-21,0.86805
82,2023-12-22,0.86660
87,2023-12-27,0.86830
88,2023-12-28,0.87060
89,2023-12-29,0.86905
93,2024-01-02,0.86645
94,2024-01-03,0.86470
95,2024-01-04,0.86278
96,2024-01-05,0.86210
99,2024-01-08,0.86150
100,2024-01-09,0.85938
101,2024-01-10,0.86023
102,2024-01-11,0.86145
103,2024-01-12,0.85950
106,2024-01-15,0.86075
107,2024-01-16,0.86078
108,2024-01-17,0.85818
109,2024-01-18,0.85773
110,2024-01-19,0.85825
113,2024-01-22,0.85575
114,2024-01-23,0.85493
115,2024-01-24,0.85543
116,2024-01-25,0.85538
117,2024-01-26,0.85368
120,2024-01-29,0.85250
121,2024-01-30,0.85628
122,2024-01-31,0.85435
123,2024-02-01,0.85353
124,2024-02-02,0.85263
127,2024-02-05,0.85595
128,2024-02-06,0.85460
129,2024-02-07,0.85305
130,2024-02-08,0.85378
131,2024-02-09,0.85440
134,2024-02-12,0.85391
135,2024-02-13,0.85098
136,2024-02-14,0.85258
137,2024-02-15,0.85635
138,2024-02-16,0.85605
141,2024-02-19,0.85448
142,2024-02-20,0.85660
143,2024-02-21,0.85619
144,2024-02-22,0.85625
145,2024-02-23,0.85340
148,2024-02-26,0.85495
149,2024-02-27,0.85620
150,2024-02-28,0.85548
151,2024-02-29,0.85655
152,2024-03-01,0.85588
155,2024-03-04,0.85583
156,2024-03-05,0.85543
157,2024-03-06,0.85498
158,2024-03-07,0.85445
159,2024-03-08,0.85168
162,2024-03-11,0.85208
163,2024-03-12,0.85458
164,2024-03-13,0.85451
165,2024-03-14,0.85420
166,2024-03-15,0.85410
169,2024-03-18,0.85525
170,2024-03-19,0.85445
171,2024-03-20,0.85438
172,2024-03-21,0.85678
173,2024-03-22,0.85795
176,2024-03-25,0.85698
177,2024-03-26,0.85846
178,2024-03-27,0.85768
179,2024-03-28,0.85510
184,2024-04-02,0.85510
185,2024-04-03,0.85713
186,2024-04-04,0.85788
187,2024-04-05,0.85773
190,2024-04-08,0.85795
191,2024-04-09,0.85663
192,2024-04-10,0.85515
193,2024-04-11,0.85525
194,2024-04-12,0.85424
197,2024-04-15,0.85405
198,2024-04-16,0.85440
199,2024-04-17,0.85400
200,2024-04-18,0.85628
201,2024-04-19,0.85620
204,2024-04-22,0.86328
205,2024-04-23,0.86050
206,2024-04-24,0.85945
207,2024-04-25,0.85675
208,2024-04-26,0.85643
211,2024-04-29,0.85493
212,2024-04-30,0.85478
214,2024-05-02,0.85538
215,2024-05-03,0.85573
218,2024-05-06,0.85660
219,2024-05-07,0.85805
220,2024-05-08,0.86083
221,2024-05-09,0.85995
222,2024-05-10,0.86055
225,2024-05-13,0.86023
226,2024-05-14,0.85983
227,2024-05-15,0.85840
228,2024-05-16,0.85850
229,2024-05-17,0.85685
232,2024-05-20,0.85548
233,2024-05-21,0.85440
234,2024-05-22,0.85165
235,2024-05-23,0.85175
236,2024-05-24,0.85241
239,2024-05-27,0.85070
240,2024-05-28,0.85080
241,2024-05-29,0.85130
242,2024-05-30,0.85105
243,2024-05-31,0.85365
246,2024-06-03,0.85175
247,2024-06-04,0.85143
248,2024-06-05,0.85048
249,2024-06-06,0.85088
250,2024-06-07,0.85120
253,2024-06-10,0.84565
254,2024-06-11,0.84198
255,2024-06-12,0.84365
256,2024-06-13,0.84468
257,2024-06-14,0.84205
260,2024-06-17,0.84573
261,2024-06-18,0.84540
262,2024-06-19,0.84455
263,2024-06-20,0.84513
264,2024-06-21,0.84531
267,2024-06-24,0.84730
268,2024-06-25,0.84465
269,2024-06-26,0.84453
270,2024-06-27,0.84590
271,2024-06-28,0.84638
274,2024-07-01,0.84790
275,2024-07-02,0.84755
276,2024-07-03,0.84680
277,2024-07-04,0.84663
278,2024-07-05,0.84613
281,2024-07-08,0.84410
282,2024-07-09,0.84491
283,2024-07-10,0.84518
284,2024-07-11,0.84305
285,2024-07-12,0.84029
288,2024-07-15,0.84045
289,2024-07-16,0.84058
290,2024-07-17,0.83915
291,2024-07-18,0.84175
292,2024-07-19,0.84280
295,2024-07-22,0.84215
296,2024-07-23,0.84073
297,2024-07-24,0.83973
298,2024-07-25,0.84280
299,2024-07-26,0.84378
302,2024-07-29,0.84345
303,2024-07-30,0.84260
304,2024-07-31,0.84380
305,2024-08-01,0.84328
306,2024-08-02,0.85000
309,2024-08-05,0.85878
310,2024-08-06,0.85998
311,2024-08-07,0.85808
312,2024-08-08,0.86093
313,2024-08-09,0.85708
316,2024-08-12,0.85554
317,2024-08-13,0.85458
318,2024-08-14,0.85783
319,2024-08-15,0.85615
320,2024-08-16,0.85128
323,2024-08-19,0.85243
324,2024-08-20,0.85194
325,2024-08-21,0.85303
326,2024-08-22,0.84943
327,2024-08-23,0.84733
330,2024-08-26,0.84645
331,2024-08-27,0.84438
332,2024-08-28,0.84163
333,2024-08-29,0.84175
334,2024-08-30,0.84120
337,2024-09-02,0.84218
338,2024-09-03,0.84085
339,2024-09-04,0.84248
340,2024-09-05,0.84318
341,2024-09-06,0.84293
344,2024-09-09,0.84365
345,2024-09-10,0.84265
346,2024-09-11,0.84375
347,2024-09-12,0.84460
348,2024-09-13,0.84475
351,2024-09-16,0.84278
352,2024-09-17,0.84278
353,2024-09-18,0.84225
354,2024-09-19,0.83953
355,2024-09-20,0.83910
358,2024-09-23,0.83518
359,2024-09-24,0.83220
360,2024-09-25,0.83653
361,2024-09-26,0.83428
362,2024-09-27,0.83338
365,2024-09-30,0.83543
366,2024-10-01,0.83193
367,2024-10-02,0.83288
368,2024-10-03,0.84258
369,2024-10-04,0.83735
372,2024-10-07,0.83918
373,2024-10-08,0.83778
374,2024-10-09,0.83740
375,2024-10-10,0.83686
376,2024-10-11,0.83705
379,2024-10-14,0.83665
380,2024-10-15,0.83355
381,2024-10-16,0.83605
382,2024-10-17,0.83455
383,2024-10-18,0.83165
386,2024-10-21,0.83315
387,2024-10-22,0.83340
388,2024-10-23,0.83148
389,2024-10-24,0.83210
390,2024-10-25,0.83358
393,2024-10-28,0.83290
394,2024-10-29,0.83020
395,2024-10-30,0.83425
396,2024-10-31,0.83753
397,2024-11-01,0.83998
400,2024-11-04,0.84063
401,2024-11-05,0.83920
402,2024-11-06,0.83223
403,2024-11-07,0.83185
404,2024-11-08,0.83188
407,2024-11-11,0.82680
408,2024-11-12,0.82835
409,2024-11-13,0.83413
410,2024-11-14,0.83158
411,2024-11-15,0.83455
414,2024-11-18,0.83560
415,2024-11-19,0.83638
416,2024-11-20,0.83380
417,2024-11-21,0.83273
418,2024-11-22,0.83205
421,2024-11-25,0.83465
422,2024-11-26,0.83480
423,2024-11-27,0.83400
424,2024-11-28,0.83230
425,2024-11-29,0.83205
428,2024-12-02,0.82898
429,2024-12-03,0.83123
430,2024-12-04,0.82830
431,2024-12-05,0.82800
432,2024-12-06,0.82855
435,2024-12-09,0.82805
436,2024-12-10,0.82555
437,2024-12-11,0.82458
438,2024-12-12,0.82428
439,2024-12-13,0.83043
442,2024-12-16,0.82945
443,2024-12-17,0.82648
444,2024-12-18,0.82520
445,2024-12-19,0.82445
446,2024-12-20,0.82965
449,2024-12-23,0.82995
450,2024-12-24,0.82805
453,2024-12-27,0.83098
456,2024-12-30,0.82950
457,2024-12-31,0.82918
459,2025-01-02,0.83118
460,2025-01-03,0.82993
463,2025-01-06,0.83098
464,2025-01-07,0.82915
465,2025-01-08,0.83403
466,2025-01-09,0.83808
467,2025-01-10,0.83693
470,2025-01-13,0.84160
471,2025-01-14,0.84288
472,2025-01-15,0.84313
473,2025-01-16,0.84258
474,2025-01-17,0.84453
477,2025-01-20,0.84588
478,2025-01-21,0.84553
479,2025-01-22,0.84466
480,2025-01-23,0.84468
481,2025-01-24,0.84413
484,2025-01-27,0.84106
485,2025-01-28,0.83868
486,2025-01-29,0.83723
487,2025-01-30,0.83685
488,2025-01-31,0.83608
491,2025-02-03,0.83136
492,2025-02-04,0.83188
493,2025-02-05,0.83085
494,2025-02-06,0.83688
495,2025-02-07,0.83353
498,2025-02-10,0.83283
499,2025-02-11,0.83355
500,2025-02-12,0.83338
501,2025-02-13,0.83313
502,2025-02-14,0.83215
505,2025-02-17,0.83133
506,2025-02-18,0.83025
507,2025-02-19,0.82838
508,2025-02-20,0.82823
509,2025-02-21,0.82760
512,2025-02-24,0.82830
513,2025-02-25,0.82908
514,2025-02-26,0.82868
515,2025-02-27,0.82673
516,2025-02-28,0.82608
519,2025-03-03,0.82530
520,2025-03-04,0.82788
521,2025-03-05,0.83500
522,2025-03-06,0.83790
523,2025-03-07,0.84088
526,2025-03-10,0.83849
527,2025-03-11,0.84374
528,2025-03-12,0.84078
529,2025-03-13,0.83778
530,2025-03-14,0.84183
533,2025-03-17,0.84026
534,2025-03-18,0.84173
535,2025-03-19,0.84078
536,2025-03-20,0.83690
537,2025-03-21,0.83765
540,2025-03-24,0.83663
541,2025-03-25,0.83565
542,2025-03-26,0.83623
543,2025-03-27,0.83318
544,2025-03-28,0.83358
547,2025-03-31,0.83536
548,2025-04-01,0.83665
549,2025-04-02,0.83455
550,2025-04-03,0.84163
551,2025-04-04,0.84985
554,2025-04-07,0.85588
555,2025-04-08,0.85644
556,2025-04-09,0.86435
557,2025-04-10,0.85755
558,2025-04-11,0.86678
561,2025-04-14,0.86383
562,2025-04-15,0.85570
563,2025-04-16,0.85618
564,2025-04-17,0.85873
569,2025-04-22,0.85858
570,2025-04-23,0.85793
571,2025-04-24,0.85500
572,2025-04-25,0.85310
575,2025-04-28,0.85140
576,2025-04-29,0.84980
577,2025-04-30,0.85180
579,2025-05-02,0.85330
582,2025-05-05,0.85150
583,2025-05-06,0.84690
584,2025-05-07,0.85110
585,2025-05-08,0.84760
586,2025-05-09,0.84770
589,2025-05-12,0.84290
590,2025-05-13,0.84060
591,2025-05-14,0.84150
592,2025-05-15,0.84240
593,2025-05-16,0.84270
596,2025-05-19,0.84190
597,2025-05-20,0.84180
598,2025-05-21,0.84460
599,2025-05-22,0.84270
600,2025-05-23,0.83820
603,2025-05-26,0.83920
604,2025-05-27,0.83810
605,2025-05-28,0.83980
606,2025-05-29,0.83770
607,2025-05-30,0.84120
610,2025-06-02,0.84340
611,2025-06-03,0.84360
612,2025-06-04,0.84210
613,2025-06-05,0.84190
614,2025-06-06,0.84260
617,2025-06-09,0.84240
618,2025-06-10,0.84640
619,2025-06-11,0.84760
620,2025-06-12,0.85380
621,2025-06-13,0.85050
624,2025-06-16,0.85230
