,date,EUR 1 = USD
1,2023-10-02,1.0530
2,2023-10-03,1.0469
3,2023-10-04,1.0497
4,2023-10-05,1.0526
5,2023-10-06,1.0563
8,2023-10-09,1.0531
9,2023-10-10,1.0582
10,2023-10-11,1.0604
11,2023-10-12,1.0619
12,2023-10-13,1.0524
15,2023-10-16,1.0538
16,2023-10-17,1.0569
17,2023-10-18,1.0565
18,2023-10-19,1.0558
19,2023-10-20,1.0591
22,2023-10-23,1.0597
23,2023-10-24,1.0632
24,2023-10-25,1.0576
25,2023-10-26,1.0540
26,2023-10-27,1.0541
29,2023-10-30,1.0605
30,2023-10-31,1.0619
31,2023-11-01,1.0537
32,2023-11-02,1.0661
33,2023-11-03,1.0702
36,2023-11-06,1.0741
37,2023-11-07,1.0686
38,2023-11-08,1.0671
39,2023-11-09,1.0691
40,2023-11-10,1.0683
43,2023-11-13,1.0670
44,2023-11-14,1.0724
45,2023-11-15,1.0868
46,2023-11-16,1.0849
47,2023-11-17,1.0872
50,2023-11-20,1.0928
51,2023-11-21,1.0955
52,2023-11-22,1.0911
53,2023-11-23,1.0900
54,2023-11-24,1.0916
57,2023-11-27,1.0951
58,2023-11-28,1.0949
59,2023-11-29,1.0985
60,2023-11-30,1.0931
61,2023-12-01,1.0875
64,2023-12-04,1.0868
65,2023-12-05,1.0817
66,2023-12-06,1.0778
67,2023-12-07,1.0771
68,2023-12-08,1.0777
71,2023-12-11,1.0757
72,2023-12-12,1.0804
73,2023-12-13,1.0787
74,2023-12-14,1.0919
75,2023-12-15,1.0946
78,2023-12-18,1.0918
79,2023-12-19,1.0962
80,2023-12-20,1.0944
81,2023-12-21,1.0983
82,2023-12-22,1.1023
87,2023-12-27,1.1065
88,2023-12-28,1.1114
89,2023-12-29,1.1050
93,2024-01-02,1.0956
94,2024-01-03,1.0919
95,2024-01-04,1.0953
96,2024-01-05,1.0921
99,2024-01-08,1.0946
100,2024-01-09,1.0940
101,2024-01-10,1.0946
102,2024-01-11,1.0987
103,2024-01-12,1.0942
106,2024-01-15,1.0945
107,2024-01-16,1.0882
108,2024-01-17,1.0877
109,2024-01-18,1.0875
110,2024-01-19,1.0887
113,2024-01-22,1.0890
114,2024-01-23,1.0872
115,2024-01-24,1.0905
116,2024-01-25,1.0893
117,2024-01-26,1.0871
120,2024-01-29,1.0823
121,2024-01-30,1.0846
122,2024-01-31,1.0837
123,2024-02-01,1.0814
124,2024-02-02,1.0883
127,2024-02-05,1.0746
128,2024-02-06,1.0743
129,2024-02-07,1.0776
130,2024-02-08,1.0758
131,2024-02-09,1.0772
134,2024-02-12,1.0773
135,2024-02-13,1.0793
136,2024-02-14,1.0713
137,2024-02-15,1.0743
138,2024-02-16,1.0768
141,2024-02-19,1.0776
142,2024-02-20,1.0802
143,2024-02-21,1.0809
144,2024-02-22,1.0844
145,2024-02-23,1.0834
148,2024-02-26,1.0852
149,2024-02-27,1.0856
150,2024-02-28,1.0808
151,2024-02-29,1.0826
152,2024-03-01,1.0813
155,2024-03-04,1.0846
156,2024-03-05,1.0849
157,2024-03-06,1.0874
158,2024-03-07,1.0895
159,2024-03-08,1.0932
162,2024-03-11,1.0926
163,2024-03-12,1.0916
164,2024-03-13,1.0939
165,2024-03-14,1.0925
166,2024-03-15,1.0892
169,2024-03-18,1.0892
170,2024-03-19,1.0854
171,2024-03-20,1.0844
172,2024-03-21,1.0907
173,2024-03-22,1.0823
176,2024-03-25,1.0835
177,2024-03-26,1.0855
178,2024-03-27,1.0816
179,2024-03-28,1.0811
184,2024-04-02,1.0749
185,2024-04-03,1.0783
186,2024-04-04,1.0852
187,2024-04-05,1.0841
190,2024-04-08,1.0823
191,2024-04-09,1.0867
192,2024-04-10,1.0860
193,2024-04-11,1.0729
194,2024-04-12,1.0652
197,2024-04-15,1.0656
198,2024-04-16,1.0637
199,2024-04-17,1.0638
200,2024-04-18,1.0679
